adduser	3.118ubuntu5
libtirpc3:amd64	1.3.2-2ubuntu0.1
libudev1:amd64	249.11-0ubuntu3.20
libunistring2:amd64	1.0-1
libuuid1:amd64	2.37.2-4ubuntu3.5
libuv1:amd64	1.43.0-1ubuntu0.1
libxml2:amd64	2.9.13+dfsg-1ubuntu0.11
libxml2-utils	2.9.13+dfsg-1ubuntu0.11
libxslt1.1:amd64	1.1.34-4ubuntu0.22.04.5
libxxhash0:amd64	0.8.1-1
libyaml-0-2:amd64	0.2.2-1build2
libyaml-dev:amd64	0.2.2-1build2
libz3-4:amd64	4.8.12-1
libzstd1:amd64	1.4.8+dfsg-3build1
linux-libc-dev:amd64	5.15.0-179.189
login	1:4.8.1-2ubuntu2.2
logsave	1.46.5-2ubuntu1.2
lsb-base	11.1.0ubuntu4
lsb-release	11.1.0ubuntu4
mawk	1.3.4.20200120-3
media-types	7.0.0
mount	2.37.2-4ubuntu3.5
ncurses-base	6.3-2ubuntu0.1
ncurses-bin	6.3-2ubuntu0.1
openssl	3.0.2-0ubuntu1.23
passwd	1:4.8.1-2ubuntu2.2
perl-base	5.34.0-3ubuntu1.5
pinentry-curses	1.1.1-1build2
procps	2:3.3.17-6ubuntu2.1
pydocstyle	6.1.1-1
python3	3.10.6-1~22.04.1
python3-argcomplete	1.8.1-1.5
python3-attr	21.2.0-1ubuntu1
python3-catkin-pkg-modules	1.1.0-2
python3-cffi-backend:amd64	1.15.0-1build2
python3-cryptography	3.4.8-1ubuntu2.4
python3-dateutil	2.8.1-6
python3-dev	3.10.6-1~22.04.1
python3-distro	1.7.0-1
python3-distutils	3.10.8-1~22.04
python3-docutils	0.17.1+dfsg-2
python3-empy	3.3.4-2
python3-flake8	4.0.1-2
python3-importlib-metadata	4.6.4-1
python3-iniconfig	1.1.1-2
python3-lark	1.1.1-1
python3-lib2to3	3.10.8-1~22.04
python3-lxml:amd64	4.8.0-1build1
python3-mccabe	0.6.1-3
python3-minimal	3.10.6-1~22.04.1
python3-more-itertools	8.10.0-2
python3-netifaces:amd64	0.11.0-1build2
python3-numpy	1:1.21.5-1ubuntu22.04.1
python3-packaging	21.3-1
python3-pkg-resources	59.6.0-1.2ubuntu0.22.04.3
python3-pluggy	0.13.0-7.1
python3-psutil	5.9.0-1build1
python3-py	1.10.0-1
python3-pycodestyle	2.8.0-2
python3-pydocstyle	6.1.1-1
python3-pyflakes	2.4.0-2
python3-pygments	2.11.2+dfsg-2ubuntu0.1
python3-pyparsing	2.4.7-1
python3-pytest	6.2.5-1ubuntu2
python3-roman	3.3-1
python3-rosdistro-modules	1.0.1-1
python3-rospkg-modules	1.6.1-1
python3-setuptools	59.6.0-1.2ubuntu0.22.04.3
python3-six	1.16.0-3ubuntu1
python3-snowballstemmer	2.2.0-1build1
python3-toml	0.10.2-1
python3-yaml	5.4.1-1ubuntu1
python3-zipp	1.0.0-3ubuntu0.1
python3.10	3.10.12-1~22.04.15
python3.10-dev	3.10.12-1~22.04.15
python3.10-minimal	3.10.12-1~22.04.15
readline-common	8.1.2-1
ros-humble-action-msgs	1.2.2-1jammy.20260414.032330
ros-humble-actionlib-msgs	4.9.1-1jammy.20260414.032337
ros-humble-ament-cmake	1.3.14-1jammy.20260226.035055
ros-humble-ament-cmake-auto	1.3.14-1jammy.20260304.074922
ros-humble-ament-cmake-copyright	0.12.15-1jammy.20260304.195729
ros-humble-ament-cmake-core	1.3.14-1jammy.20260224.185609
ros-humble-ament-cmake-cppcheck	0.12.15-1jammy.20260304.195901
ros-humble-ament-cmake-cpplint	0.12.15-1jammy.20260304.195910
ros-humble-ament-cmake-export-definitions	1.3.14-1jammy.20260226.010509
ros-humble-ament-cmake-export-dependencies	1.3.14-1jammy.20260226.011144
ros-humble-ament-cmake-export-include-directories	1.3.14-1jammy.20260226.010305
ros-humble-ament-cmake-export-interfaces	1.3.14-1jammy.20260226.005715
ros-humble-ament-cmake-export-libraries	1.3.14-1jammy.20260226.004939
ros-humble-ament-cmake-export-link-flags	1.3.14-1jammy.20260226.010357
ros-humble-ament-cmake-export-targets	1.3.14-1jammy.20260226.005705
ros-humble-ament-cmake-flake8	0.12.15-1jammy.20260304.200009
ros-humble-ament-cmake-gen-version-h	1.3.14-1jammy.20260226.034234
ros-humble-ament-cmake-gmock	1.3.14-1jammy.20260226.034220
ros-humble-ament-cmake-gtest	1.3.14-1jammy.20260226.013944
ros-humble-ament-cmake-include-directories	1.3.14-1jammy.20260226.010650
ros-humble-ament-cmake-libraries	1.3.14-1jammy.20260226.010453
ros-humble-ament-cmake-lint-cmake	0.12.15-1jammy.20260304.195414
ros-humble-ament-cmake-pep257	0.12.15-1jammy.20260304.200058
ros-humble-ament-cmake-pytest	1.3.14-1jammy.20260226.014042
ros-humble-ament-cmake-python	1.3.14-1jammy.20260226.005145
ros-humble-ament-cmake-ros	0.10.0-3jammy.20260304.201222
ros-humble-ament-cmake-target-dependencies	1.3.14-1jammy.20260226.013622
ros-humble-ament-cmake-test	1.3.14-1jammy.20260226.013528
ros-humble-ament-cmake-uncrustify	0.12.15-1jammy.20260304.195907
ros-humble-ament-cmake-version	1.3.14-1jammy.20260226.010514
ros-humble-ament-cmake-xmllint	0.12.15-1jammy.20260304.200103
ros-humble-ament-copyright	0.12.15-1jammy.20260226.034848
ros-humble-ament-cppcheck	0.12.15-1jammy.20260226.010724
ros-humble-ament-cpplint	0.12.15-1jammy.20260304.090253
ros-humble-ament-flake8	0.12.15-1jammy.20260226.013519
ros-humble-ament-index-cpp	1.4.1-1jammy.20260304.201844
ros-humble-ament-index-python	1.4.1-1jammy.20260304.090250
ros-humble-ament-lint	0.12.15-1jammy.20260226.005140
ros-humble-ament-lint-auto	0.12.15-1jammy.20260226.014133
ros-humble-ament-lint-cmake	0.12.15-1jammy.20260304.090258
ros-humble-ament-lint-common	0.12.15-1jammy.20260304.201149
ros-humble-ament-package	0.14.2-1jammy.20260213.215617
ros-humble-ament-pep257	0.12.15-1jammy.20260226.014506
ros-humble-ament-uncrustify	0.12.15-1jammy.20260304.195710
ros-humble-ament-xmllint	0.12.15-1jammy.20260304.090301
ros-humble-builtin-interfaces	1.2.2-1jammy.20260414.020126
ros-humble-class-loader	2.2.0-3jammy.20260304.204543
ros-humble-common-interfaces	4.9.1-1jammy.20260414.140800
ros-humble-composition-interfaces	1.2.2-1jammy.20260414.021015
ros-humble-console-bridge-vendor	1.4.1-1jammy.20260304.202710
ros-humble-diagnostic-msgs	4.9.1-1jammy.20260414.034311
ros-humble-domain-coordinator	0.10.0-3jammy.20260304.090332
ros-humble-fastcdr	1.0.29-1jammy.20260226.010952
ros-humble-fastrtps	2.6.11-1jammy.20260304.200925
ros-humble-fastrtps-cmake-module	2.2.4-1jammy.20260304.202011
ros-humble-foonathan-memory-vendor	1.2.0-3jammy.20260304.200554
ros-humble-geometry-msgs	4.9.1-1jammy.20260414.033603
ros-humble-gmock-vendor	1.10.9006-1jammy.20260226.011659
ros-humble-gtest-vendor	1.10.9006-1jammy.20260226.011046
ros-humble-launch	1.0.14-1jammy.20260304.195519
ros-humble-launch-ros	0.19.13-1jammy.20260421.071810
ros-humble-launch-testing	1.0.14-1jammy.20260304.200104
ros-humble-launch-testing-ament-cmake	1.0.14-1jammy.20260304.202633
ros-humble-launch-testing-ros	0.19.13-1jammy.20260421.072041
ros-humble-launch-xml	1.0.14-1jammy.20260304.195726
ros-humble-launch-yaml	1.0.14-1jammy.20260304.195728
ros-humble-libstatistics-collector	1.3.4-1jammy.20260421.024132
ros-humble-libyaml-vendor	1.2.2-2jammy.20260304.204644
ros-humble-lifecycle-msgs	1.2.2-1jammy.20260414.020206
ros-humble-nav-msgs	4.9.1-1jammy.20260414.034929
ros-humble-osrf-pycommon	2.1.6-1jammy.20260226.011505
ros-humble-pluginlib	5.1.4-1jammy.20260329.184249
ros-humble-python-cmake-module	0.10.0-2jammy.20260304.202554
ros-humble-rcl	5.3.13-1jammy.20260421.021738
ros-humble-rcl-action	5.3.13-1jammy.20260421.024133
ros-humble-rcl-interfaces	1.2.2-1jammy.20260414.020551
ros-humble-rcl-lifecycle	5.3.13-1jammy.20260421.024128
ros-humble-rcl-logging-interface	2.3.2-1jammy.20260304.204603
ros-humble-rcl-logging-spdlog	2.3.2-1jammy.20260304.204758
ros-humble-rcl-yaml-param-parser	5.3.13-1jammy.20260421.015301
ros-humble-rclcpp	16.0.19-1jammy.20260421.025847
ros-humble-rclcpp-action	16.0.19-1jammy.20260421.045802
ros-humble-rclcpp-components	16.0.19-1jammy.20260421.074221
ros-humble-rclcpp-lifecycle	16.0.19-1jammy.20260421.045908
ros-humble-rclpy	3.3.21-1jammy.20260421.025639
ros-humble-rcpputils	2.4.6-1jammy.20260304.204148
ros-humble-rcutils	5.1.8-1jammy.20260304.203555
ros-humble-rmw	6.1.2-1jammy.20260304.204455
ros-humble-rmw-dds-common	1.6.0-2jammy.20260414.021257
ros-humble-rmw-fastrtps-cpp	6.2.10-1jammy.20260414.141625
ros-humble-rmw-fastrtps-shared-cpp	6.2.10-1jammy.20260414.141110
ros-humble-rmw-implementation	2.8.5-1jammy.20260415.075542
ros-humble-rmw-implementation-cmake	6.1.2-1jammy.20260304.202612
ros-humble-ros-core	0.10.0-1jammy.20260423.142057
ros-humble-ros-environment	3.2.2-1jammy.20260226.005101
ros-humble-ros-workspace	1.0.2-2jammy.20260224.185744
ros-humble-ros2action	0.18.18-1jammy.20260422.081552
ros-humble-ros2cli	0.18.18-1jammy.20260421.071921
ros-humble-ros2cli-common-extensions	0.1.2-1jammy.20260423.141638
ros-humble-ros2component	0.18.18-1jammy.20260422.090447
ros-humble-ros2doctor	0.18.18-1jammy.20260422.081639
ros-humble-ros2interface	0.18.18-1jammy.20260422.081645
ros-humble-ros2launch	0.19.13-1jammy.20260422.085809
ros-humble-ros2lifecycle	0.18.18-1jammy.20260422.085843
ros-humble-ros2multicast	0.18.18-1jammy.20260422.081645
ros-humble-ros2node	0.18.18-1jammy.20260422.081647
ros-humble-ros2param	0.18.18-1jammy.20260422.085910
ros-humble-ros2pkg	0.18.18-1jammy.20260422.081656
ros-humble-ros2plugin	5.1.4-1jammy.20260422.085811
ros-humble-ros2run	0.18.18-1jammy.20260422.085837
ros-humble-ros2service	0.18.18-1jammy.20260422.081752
ros-humble-ros2topic	0.18.18-1jammy.20260422.081807
ros-humble-rosgraph-msgs	1.2.2-1jammy.20260414.021041
ros-humble-rosidl-adapter	3.1.8-1jammy.20260304.201231
ros-humble-rosidl-cli	3.1.8-1jammy.20260304.195449
ros-humble-rosidl-cmake	3.1.8-1jammy.20260304.202821
ros-humble-rosidl-default-generators	1.2.1-1jammy.20260414.015818
ros-humble-rosidl-default-runtime	1.2.1-1jammy.20260304.210145
ros-humble-rosidl-generator-c	3.1.8-1jammy.20260304.204455
ros-humble-rosidl-generator-cpp	3.1.8-1jammy.20260304.204902
ros-humble-rosidl-generator-py	0.14.6-1jammy.20260304.205753
ros-humble-rosidl-generator-rs	0.4.12-1jammy.20260414.015644
ros-humble-rosidl-parser	3.1.8-1jammy.20260304.202637
ros-humble-rosidl-runtime-c	3.1.8-1jammy.20260304.204205
ros-humble-rosidl-runtime-cpp	3.1.8-1jammy.20260304.204656
ros-humble-rosidl-runtime-py	0.9.3-1jammy.20260414.141026
ros-humble-rosidl-typesupport-c	2.0.2-1jammy.20260304.204636
ros-humble-rosidl-typesupport-cpp	2.0.2-1jammy.20260304.205041
ros-humble-rosidl-typesupport-fastrtps-c	2.2.4-1jammy.20260304.205703
ros-humble-rosidl-typesupport-fastrtps-cpp	2.2.4-1jammy.20260304.205234
ros-humble-rosidl-typesupport-interface	3.1.8-1jammy.20260304.202725
ros-humble-rosidl-typesupport-introspection-c	3.1.8-1jammy.20260304.204454
ros-humble-rosidl-typesupport-introspection-cpp	3.1.8-1jammy.20260304.204904
ros-humble-rpyutils	0.2.2-1jammy.20260304.195455
ros-humble-sensor-msgs	4.9.1-1jammy.20260414.035238
ros-humble-shape-msgs	4.9.1-1jammy.20260414.130158
ros-humble-spdlog-vendor	1.3.1-1jammy.20260304.202915
ros-humble-sros2	0.10.9-1jammy.20260423.141439
ros-humble-sros2-cmake	0.10.9-1jammy.20260423.141638
ros-humble-statistics-msgs	1.2.2-1jammy.20260414.021053
ros-humble-std-msgs	4.9.1-1jammy.20260414.021058
ros-humble-std-srvs	4.9.1-1jammy.20260414.021352
ros-humble-stereo-msgs	4.9.1-1jammy.20260414.125913
ros-humble-tinyxml2-vendor	0.7.7-1jammy.20260304.195411
ros-humble-tracetools	4.1.2-1jammy.20260304.201640
ros-humble-trajectory-msgs	4.9.1-1jammy.20260414.130526
ros-humble-uncrustify-vendor	2.0.2-2jammy.20260304.195304
ros-humble-unique-identifier-msgs	2.2.1-3jammy.20260414.021405
ros-humble-visualization-msgs	4.9.1-1jammy.20260414.125941
ros2-apt-source	1.2.0~jammy
rpcsvc-proto	1.4.2-0ubuntu6
sed	4.8-1ubuntu2.1
sensible-utils	0.0.17
sgml-base	1.30
sysvinit-utils	3.01-1ubuntu1
tar	1.34+dfsg-1ubuntu0.1.22.04.2
tzdata	2026a-0ubuntu0.22.04.1
ubuntu-keyring	2021.03.26
uncrustify	0.72.0+dfsg1-2
usrmerge	25ubuntu2
util-linux	2.37.2-4ubuntu3.5
xml-core	0.18+nmu1
zlib1g:amd64	1:1.2.11.dfsg-2ubuntu9.2
zlib1g-dev:amd64	1:1.2.11.dfsg-2ubuntu9.2
